"","X","sid","age","female","ethnic","married","major","HSalg","HScalc","COalg","COcalc","likeeng","likemath","matheng","extramath","extraeng","prefsub","rd","mv","sonaid","nativea","asian","africana","hispanic","pacifici","white","majortype","vp","mp","corv","gotv","corm","gotm","vt","mt","id","cav","trt"
"1",1,5,18,"Female","Asian","Single","biological sciences, b.s.","Yes","Yes","No","Yes","i like them a little","i like them a little","i like math/statistics and composition/literature equally well","maybe","probably","2 3 14","rdd","math training",32269,"no","yes","no","no","no","no","math intensive",29,13,0,"no",5,"yes",12,19,5,9,1
"2",2,6,19,"Female","Hisp","Single","undecided","Yes","No","No","No","i like them a little","i niether like nor dislike them","i like composition and literature best","probably","probably","2 15 8","rdd","vocab training",NA,"no","no","no","yes","no","no","unknown",17,4,31,"yes",0,"no",0,0,6,-3,1
"3",3,7,18,"Male","White","Single","polical science, b.a. ","Yes","Yes","No","No","i like them a lot","i dislike them a little","i like composition and literature best","not really","probably","7 10 13","rdd","math training",32707,"no","no","no","no","no","yes","english intensive",26,13,0,"no",5,"yes",11,16,7,6,1
"4",4,14,18,"Male","Hisp","Single","biological sciences, b.s.","Yes","No","No","No","i like them a little","i like them a lot","i like math and statistics best","definitely","not likely","14","rdd","math training",32629,"no","no","no","yes","no","no","math intensive",21,3,0,"no",4,"yes",6,13,14,1,1
"5",5,15,19,"Female","Hisp","Single","psychology, b.a.","Yes","No","No","No","i niether like nor dislike them","i like them a little","i like math and statistics best","not really","certainly not","2 10 14","rdd","math training",31177,"no","no","no","yes","no","no","english intensive",21,4,0,"no",3,"yes",3,9,15,1,1
"6",6,23,20,"Female","Hisp","Single","earth systems science, b.s. ","Yes","Yes","No","Yes","i like them a little","i dislike them a little","i like math/statistics and composition/literature equally well","not really","probably","1 2 11","rdd","math training",31954,"no","no","no","yes","no","no","math intensive",28,9,0,"no",2,"yes",0,7,23,8,1
"7",7,25,19,"Female","Asian","Single","biological sciences, b.s.","Yes","No","No","Yes","i like them a little","i like them a lot","i like math/statistics and composition/literature equally well","maybe","maybe","14 2 7","rdd","vocab training",32245,"no","yes","no","no","no","no","math intensive",9,8,31,"yes",0,"no",13,15,25,-11,0
"8",8,27,18,"Male","Asian","Single","undecided","Yes","Yes","No","No","i dislike them a lot","i niether like nor dislike them","i like math/statistics and composition/literature equally well","not really","certainly not","10 13 11","rdd","math training",32599,"no","yes","no","no","no","no","unknown",21,6,0,"no",3,"yes",8,12,27,1,1
"9",9,30,18,"Female","White","Single","psychology, b.a.","Yes","No","No","No","i like them a little","i dislike them a lot","i like composition and literature best","certainly not","probably","14 6 15","rdd","math training",32440,"no","no","no","no","no","yes","english intensive",23,5,0,"no",4,"yes",4,14,30,3,1
"10",10,31,18,"Female","Hisp","Single","undecided","Yes","No","No","No","i dislike them a little ","i like them a little","i like math and statistics best","maybe","not likely","2 3 10 13 14 7","rdd","vocab training",32236,"no","no","no","yes","no","no","unknown",19,7,20,"yes",0,"no",4,5,31,-1,0
"11",11,34,18,"Male","White","Single","history, b.a.","Yes","No","No","No","i dislike them a little ","i dislike them a lot","i like composition and literature best","certainly not","maybe","13514","rdd","math training",32737,"no","no","no","no","no","yes","english intensive",28,7,0,"no",3,"yes",10,10,34,8,1
"12",12,37,19,"Female","Asian","Single","undecided","Yes","No","Yes","Yes","i dislike them a lot","i dislike them a lot","i like math/statistics and composition/literature equally well","not really","not likely","4","rdd","vocab training",31423,"no","yes","no","no","no","no","unknown",17,11,20,"yes",0,"no",12,12,37,-3,0
"13",13,38,19,"Female","Black","Single","congnitive sciences, b.s./b.a.","Yes","Yes","No","Yes","i like them a lot","i like them a little","i like composition and literature best","not really","probably","7","rdd","math training",32548,"no","no","yes","no","no","no","english intensive",23,3,0,"no",0,"no",7,0,38,3,1
"14",14,39,19,"Male","Hisp","Single","management, b.s.","Yes","No","No","Yes","i like them a little","i like them a little","i like math/statistics and composition/literature equally well","not really","maybe","6 7 14","rdd","vocab training",32773,"no","no","no","yes","no","no","english intensive",19,8,14,"yes",0,"no",14,10,39,-1,0
