x1,x2,tr1,tr2,trb,tr,zx2,zx1,zcx2,zcx1,y,x1res,x2res
51.03019,56.653435,0,1,0,1,.16768016,.59881872,-.33286706,1.1093826,82.437737,0,0
51.297325,69.942413,0,0,0,0,1.4894722,.62568641,.98892492,1.1362504,87.938889,0,0
26.362993,35.439194,0,0,1,1,-1.9424002,-1.8821323,-2.4429474,-1.3715683,42.619377,0,0
51.115128,56.450058,0,1,0,1,.14745124,.6073615,-.35309598,1.1179254,79.506973,0,0
46.882633,33.022011,0,1,0,1,-2.182826,.1816702,-2.6833732,.69223416,57.054527,0,0
38.768559,45.439014,0,0,1,1,-.94776523,-.63441855,-1.4483124,-.12385459,59.562374,1,0
62.210037,47.441372,0,1,0,1,-.74860018,1.7232535,-1.2491474,2.2338173,77.933731,0,0
24.727737,43.495544,0,0,1,1,-1.141073,-2.0466013,-1.6416202,-1.5360373,52.768909,0,0
43.436104,55.810535,0,1,0,1,.083840951,-.16497116,-.41670626,.3455928,79.361992,0,0
40.940174,44.744976,0,1,0,1,-1.016798,-.41600412,-1.5173452,.094559833,62.102814,1,0
42.594986,49.247856,0,1,0,1,-.56891775,-.24956821,-1.0694649,.26099575,65.820534,0,0
51.606754,57.311211,0,1,0,1,.23310603,.65680784,-.26744118,1.1673717,81.893898,0,0
43.555962,52.356155,0,1,0,1,-.25974992,-.15291622,-.76029712,.35764772,66.567543,0,0
50.155445,50.31292,0,1,0,1,-.46298093,.51083958,-.96352816,1.0214036,73.801521,0,0
28.672071,54.012081,0,0,1,1,-.095042802,-1.6498923,-.59559,-1.1393284,58.040543,0,0
72.97554,52.247494,0,1,0,1,-.27055797,2.8060148,-.77110517,3.3165786,95.1091,0,0
46.97279,52.788273,0,1,0,1,-.21676923,.19073787,-.71731645,.70130181,72.345261,0,0
28.726442,53.225208,0,0,1,1,-.17330933,-1.6444238,-.67385656,-1.1338599,60.001053,0,0
38.263878,43.97942,0,0,1,1,-1.0929443,-.6851778,-1.5934914,-.17461385,57.91349,0,0
55.053543,63.744915,0,0,0,0,.87303621,1.0034753,.37248901,1.5140393,83.541885,0,0
35.653469,65.46299,1,0,0,1,1.043925,-.9477247,.54337782,-.43716076,73.640839,0,0
47.346008,57.002319,0,1,0,1,.20238207,.22827506,-.29816514,.73883903,78.111519,0,0
34.858727,46.775753,0,0,1,1,-.81480616,-1.0276575,-1.3153534,-.51709354,58.528343,0,0
36.627041,51.198616,0,0,1,1,-.37488487,-.84980583,-.87543207,-.33924189,63.673443,0,0
61.251045,58.470764,0,1,0,1,.34844133,1.626801,-.15210587,2.1373649,88.499557,0,0
47.448456,51.891853,0,1,0,1,-.30593184,.23857892,-.80647904,.74914289,72.101616,0,0
38.614532,50.829731,0,0,1,1,-.41157615,-.64991003,-.91212338,-.13934608,66.663284,1,0
46.215004,52.805779,0,1,0,1,-.21502803,.11452211,-.71557522,.62508607,72.79657,0,0
37.534458,56.511147,0,0,1,1,.15352742,-.75854057,-.34701979,-.24797662,68.502319,0,0
31.575006,57.833309,0,0,1,1,.28503671,-1.357924,-.21551049,-.84736001,69.524261,0,0
47.543842,71.511147,0,0,0,0,1.6455066,.2481726,1.1449594,.75873655,87.06739,0,0
43.898659,57.433964,0,1,0,1,.2453157,-.1184488,-.2552315,.39211515,78.391769,0,0
38.320961,33.075806,0,0,1,1,-2.1774752,-.67943656,-2.6780224,-.16887261,42.89069,0,0
49.222206,73.731506,0,0,0,0,1.8663553,.41697729,1.3658081,.92754126,82.721237,0,0
44.71843,40.597637,0,1,0,1,-1.4293141,-.035998765,-1.9298613,.47456518,58.875748,0,0
41.591167,41.868847,0,1,0,1,-1.3028729,-.35052919,-1.8034201,.16003476,61.517673,0,0
34.065216,56.387665,0,0,1,1,.14124529,-1.1074663,-.35930192,-.59690237,65.323074,0,0
43.201332,47.024654,0,1,0,1,-.79004914,-.18858378,-1.2905964,.32198018,65.29467,0,0
48.672459,53.315403,0,1,0,1,-.16433808,.36168537,-.66488528,.87224931,74.052208,0,0
43.016541,64.551102,0,0,0,0,.95322376,-.20716955,.45267656,.30339441,75.140541,0,0
37.088116,49.890934,0,0,1,1,-.50495386,-.80343235,-1.005501,-.29286841,61.60038,0,0
45.371826,41.416679,0,1,0,1,-1.3478479,.029717864,-1.8483951,.54028183,60.43261,0,0
52.276093,64.869499,0,0,0,0,.98489326,.72412783,.48434606,1.2346917,82.491096,0,0
42.943222,54.58699,0,1,0,1,-.037859298,-.2145437,-.53840649,.29602024,69.269829,0,0
52.432938,43.579224,0,1,0,1,-1.1327499,.73990279,-1.6332971,1.2504667,68.487083,0,0
29.970039,61.106457,1,0,0,1,.61060125,-1.5193467,.11005405,-1.0087827,67.84893,0,1
42.985806,59.546581,0,1,0,1,.45544779,-.21026078,-.045099411,.30030316,77.796669,0,1
41.246395,61.253159,0,0,0,0,.62519294,-.38520536,.12464574,.1253586,70.045265,1,1
27.012272,57.144276,0,0,1,1,.21650179,-1.8168298,-.28404543,-1.3062658,61.630592,0,0
62.646942,66.144943,0,0,0,0,1.1117557,1.7671961,.6112085,2.27776,87.230553,0,0
24.989754,51.459824,0,0,1,1,-.34890381,-2.0202487,-.84945101,-1.5096847,58.557961,0,0
38.547581,34.51704,0,0,1,1,-2.0341225,-.65664381,-2.5346696,-.14607985,48.162971,1,0
43.720303,31.989088,0,1,0,1,-2.2855659,-.13638732,-2.786113,.37417662,51.488441,0,0
35.65044,61.842442,1,0,0,1,.68380618,-.94802934,.18325898,-.4374654,69.255066,0,0
48.322857,47.173798,0,1,0,1,-.77521455,.32652348,-1.2757617,.83708745,67.850929,0,0
39.169476,42.998009,0,0,1,1,-1.1905606,-.59409559,-1.6911077,-.083531633,55.040886,1,0
61.250214,57.582336,0,1,0,1,.26007363,1.6267174,-.24047357,2.1372814,89.085045,0,0
38.856979,48.717007,0,0,1,1,-.62171882,-.62552547,-1.1222661,-.11496152,63.314716,1,0
48.691437,53.548435,0,1,0,1,-.14115947,.36359411,-.64170671,.87415808,77.436333,0,0
44.478519,43.287933,0,1,0,1,-1.1617231,-.06012819,-1.6622703,.45043576,64.319481,0,0
47.592575,68.654442,0,0,0,0,1.3613636,.25307399,.86081642,.76363796,85.948547,0,0
48.257542,65.232773,0,0,0,0,1.0210264,.31995428,.52047914,.83051825,78.639893,0,0
26.47419,53.347218,0,0,1,1,-.16117364,-1.8709486,-.66172087,-1.3603846,63.801048,0,0
50.414928,72.934868,0,0,0,0,1.7871174,.53693765,1.2865702,1.0475016,90.385162,0,0
